index,키워드,키워드_빈도,포함 인물 수,포함 인물
103,마을,48,46,"배중엽(裴重曄), 유천식(兪天植), 김도식(金道式), 이화실(李華實), 한연순(韓連順), 이만권(李萬權), 박원학(朴元學), 이복구(李福求), 최춘이(崔春伊), 한삼석(韓三石)"
104,광주,47,28,"유찬옥(柳贊玉), 한길상(韓吉祥), 황상호(黃尙鎬), 김성민(金聖敏), 정몽석(丁奉錫), 장남규(張南奎), 서정희(徐廷禧), 홍순남(洪順男), 박영자(朴永子), 유계문(劉桂文)"
105,시위,47,32,"차봉안(車鳳顔), 이정순(李貞淳), 장영옥(張永玉), 김용섭(金用燮), 정학순(鄭學順), 홍순관(洪淳寬), 김영종(金永鍾), 김만수(金萬秀), 임봉서(林鳳棲), 김이선(金利善)"
106,피고,46,28,"오성칠(吳聖七), 신홍윤(申弘允), 이응화(李應華), 김원초(金元初), 이관석(李官錫), 박희두(朴羲斗), 이정(李정), 최병교(崔秉敎), 하정호(河呈昊), 양의근(楊義根)"
107,헌병,45,30,"조영섭(曹永涉), 천연도(千年桃), 김창현(金昌玄), 문덕상(文德相), 박홍빈(朴弘彬), 김순연(金順淵), 조정삼(趙丁三), 이정(李정), 나용기(羅龍基), 조원룡(趙元龍)"
108,원산부,45,15,"김인관(金仁寬), 원기복(元己福), 이용훤(李容暄), 정도린(鄭道潾), 최명복(崔明福), 최종빈(崔鍾濱), 안성련(安成連), 정봉승(鄭鳳升), 김원호(金原昊), 이약수(李若壽)"
109,친일파,45,15,"김인관(金仁寬), 원기복(元己福), 이용훤(李容暄), 정도린(鄭道潾), 최명복(崔明福), 최종빈(崔鍾濱), 안성련(安成連), 정봉승(鄭鳳升), 김원호(金原昊), 이약수(李若壽)"
110,깃발,44,38,"정동찬(丁銅燦), 조영섭(曹永涉), 이봉확(李鳳崔), 조인환(曹寅煥), 석병길(石丙吉), 김창현(金昌玄), 이태학(金永瑞), 최석룡(崔碩龍), 이정(李정), 강응삼(姜應三)"
111,학교,42,41,"장병삼(張炳三), 정효식(鄭孝植), 송명옥(宋明玉), 강상돈(康相敦), 김수한(金壽漢), 한극모(韓極模), 신횡호(申鐄浩), 민영진(閔泳鎭), 안도겸(安道謙), 전사종(全師鍾)"
112,정오,41,21,"김성구(金聲球), 홍기진(洪基鎭), 박성호(朴聖浩), 강흥락(姜興洛), 최명학(崔明鶴), 곽선죽(郭善竹), 한림(韓林), 이상로(李祥老), 이영식(李榮植), 도상록(都相祿)"
113,다중,41,33,"배중엽(裴重曄), 김창덕(金昌德), 권필호(權弼浩), 김인환(金仁煥), 류시복(柳始馥), 김용술(金用述), 이사원(李士元), 김석준(金石準), 한영수(韓泳洙), 권영대(權寧大)"
